customer_id,archetype,gps_adoption_pct,logbook_completion_pct,reports_generated_30d,days_since_last_login,mobile_dau_mau,open_support_tickets,avg_ticket_resolution_days,csat_score,qbr_completed_this_quarter,nps_score,onboarding_completion_score,expansion_mrr_3m,as_of_date
CUST-0017,drifting,69.1,79.8,2,33,0.416,0,5.4,3.9,0,8.0,100.0,0.0,2024-12-31
CUST-0018,champion,89.1,77.4,10,8,0.58,0,2.0,4.8,1,10.0,100.0,0.0,2024-12-31
CUST-0019,champion,91.1,100.0,10,4,0.623,0,2.0,4.5,1,,100.0,0.0,2024-12-31
CUST-0020,struggling,66.6,,2,40,0.093,1,11.4,2.7,0,,61.7,0.0,2024-12-31
CUST-0021,champion,98.8,94.1,14,2,0.559,0,1.1,4.7,1,,100.0,0.0,2024-12-31
CUST-0022,champion,93.5,88.2,10,13,0.465,0,1.1,4.5,1,10.0,100.0,88.83,2024-12-31
CUST-0023,healthy,90.3,82.7,6,1,0.576,1,1.6,4.6,0,,92.0,0.0,2024-12-31
CUST-0024,critical,52.8,,0,107,0.0,8,17.2,1.5,0,1.0,41.4,0.0,2024-12-31
CUST-0025,champion,93.1,84.9,9,2,0.371,0,1.3,5.0,1,9.0,100.0,0.0,2024-12-31
CUST-0026,drifting,72.6,53.3,3,19,0.348,3,7.8,4.0,0,7.0,92.6,0.0,2024-12-31
CUST-0027,drifting,66.3,62.2,1,1,0.33,0,4.5,3.3,0,,83.9,0.0,2024-12-31
CUST-0028,drifting,74.9,45.8,6,6,0.407,0,6.5,3.1,0,,97.5,0.0,2024-12-31
CUST-0029,champion,88.9,87.2,12,1,0.226,0,0.6,4.3,1,10.0,94.3,0.0,2024-12-31
CUST-0030,champion,100.0,100.0,8,3,0.503,0,1.5,4.6,1,8.0,100.0,0.0,2024-12-31
CUST-0031,champion,94.2,95.1,9,3,0.709,0,1.8,4.7,1,,100.0,0.0,2024-12-31
CUST-0032,healthy,88.6,80.5,7,3,0.421,0,3.1,4.6,0,,88.3,0.0,2024-12-31
CUST-0033,struggling,72.4,58.4,4,61,0.097,4,7.2,3.5,0,5.0,45.0,0.0,2024-12-31
CUST-0034,champion,100.0,85.3,11,9,0.576,0,1.5,4.6,1,,100.0,0.0,2024-12-31
CUST-0035,critical,50.0,,0,120,0.019,3,18.9,2.8,0,1.0,42.3,0.0,2024-12-31
CUST-0036,champion,97.2,94.9,10,1,0.48,0,1.9,4.7,1,9.0,100.0,0.0,2024-12-31
CUST-0037,champion,90.7,86.4,10,3,0.494,0,1.6,4.6,1,,100.0,0.0,2024-12-31
CUST-0038,champion,94.9,76.3,6,6,0.484,0,1.6,5.0,1,10.0,100.0,0.0,2024-12-31
CUST-0039,champion,97.4,87.9,12,1,0.45,0,1.5,4.8,1,9.0,100.0,0.0,2024-12-31
CUST-0040,champion,90.7,94.0,12,13,0.405,0,1.6,4.7,1,10.0,100.0,0.0,2024-12-31
CUST-0041,champion,94.4,82.3,9,3,0.6,0,2.3,5.0,0,,100.0,0.0,2024-12-31
CUST-0042,struggling,57.2,,6,12,0.099,2,5.3,3.0,0,3.0,47.2,0.0,2024-12-31
CUST-0043,struggling,77.5,68.4,2,43,0.254,3,8.8,2.6,0,6.0,59.8,0.0,2024-12-31
CUST-0044,critical,42.1,15.3,3,119,0.071,2,21.9,2.2,0,2.0,24.6,0.0,2024-12-31
CUST-0045,drifting,74.7,89.6,5,57,0.235,1,5.2,3.8,0,6.0,78.0,0.0,2024-12-31
CUST-0046,drifting,78.4,52.7,1,2,0.408,1,8.1,3.6,0,,74.9,0.0,2024-12-31
CUST-0047,drifting,82.4,82.8,5,10,0.345,1,6.6,2.6,0,8.0,82.9,0.0,2024-12-31
CUST-0048,healthy,78.9,59.3,5,5,0.472,0,3.5,3.5,0,8.0,87.6,0.0,2024-12-31
CUST-0049,champion,93.8,92.8,9,2,0.662,0,1.7,4.4,1,,94.5,0.0,2024-12-31
CUST-0050,drifting,67.4,53.6,4,22,0.376,0,4.3,3.2,0,7.0,77.4,0.0,2024-12-31
CUST-0051,struggling,45.5,50.4,1,8,0.186,1,10.4,3.5,0,3.0,43.7,0.0,2024-12-31
CUST-0052,drifting,79.7,59.7,3,4,0.338,1,1.5,4.3,0,6.0,71.8,0.0,2024-12-31
CUST-0053,critical,34.5,47.1,3,46,0.0,3,15.1,2.0,0,1.0,26.6,0.0,2024-12-31
CUST-0054,champion,89.8,83.4,10,8,0.515,0,1.9,4.4,1,,100.0,0.0,2024-12-31
CUST-0055,champion,94.0,100.0,11,5,0.446,0,2.1,4.3,1,10.0,100.0,0.0,2024-12-31
CUST-0056,champion,86.3,97.8,9,1,0.563,0,1.3,4.5,1,8.0,100.0,0.0,2024-12-31
CUST-0057,drifting,67.1,33.4,6,80,0.256,3,5.8,3.0,0,7.0,69.2,0.0,2024-12-31
CUST-0058,champion,94.4,96.1,5,5,0.604,0,1.0,4.2,1,,100.0,0.0,2024-12-31
CUST-0059,drifting,72.4,72.0,2,6,0.166,1,4.8,3.3,0,6.0,76.1,0.0,2024-12-31
CUST-0060,critical,29.6,50.5,4,58,0.157,5,12.2,2.1,0,,5.7,0.0,2024-12-31
CUST-0061,champion,93.4,99.8,12,1,0.491,0,1.7,4.6,1,,100.0,0.0,2024-12-31
CUST-0062,champion,95.2,100.0,10,1,0.517,0,2.1,4.1,1,10.0,100.0,194.65,2024-12-31
CUST-0063,champion,92.6,89.5,12,1,0.526,0,1.6,4.9,1,10.0,100.0,73.81,2024-12-31
CUST-0064,champion,88.1,99.6,9,3,0.508,0,1.5,4.6,0,9.0,100.0,183.39,2024-12-31
CUST-0065,champion,90.6,96.8,7,1,0.701,0,2.0,4.5,1,9.0,100.0,181.06,2024-12-31
CUST-0066,champion,92.9,80.5,8,1,0.588,0,1.9,4.8,0,10.0,100.0,0.0,2024-12-31
CUST-0067,healthy,97.3,73.2,3,1,0.417,0,3.0,4.2,0,8.0,98.2,0.0,2024-12-31
CUST-0068,struggling,58.4,33.1,8,1,0.193,2,10.6,3.9,0,2.0,64.3,0.0,2024-12-31
CUST-0069,struggling,71.1,79.3,2,103,0.171,0,9.2,3.5,0,,56.2,0.0,2024-12-31
CUST-0070,struggling,34.7,78.3,3,61,0.137,2,2.7,2.6,0,2.0,69.3,0.0,2024-12-31
CUST-0071,struggling,75.0,47.8,0,5,0.179,2,14.0,3.5,0,,51.4,0.0,2024-12-31
CUST-0072,champion,92.9,79.3,17,1,0.556,0,1.8,4.5,1,,100.0,1392.01,2024-12-31
CUST-0073,champion,91.8,89.0,8,3,0.689,0,2.1,4.1,0,10.0,93.7,948.19,2024-12-31
CUST-0074,critical,33.2,,0,120,0.065,3,18.3,1.5,0,,45.7,0.0,2024-12-31
CUST-0075,champion,93.6,89.6,7,4,0.477,0,1.7,4.6,1,9.0,100.0,0.0,2024-12-31
CUST-0076,struggling,52.2,,3,73,0.086,1,12.1,3.2,0,4.0,53.6,0.0,2024-12-31
CUST-0077,champion,92.8,92.2,6,2,0.426,0,0.8,4.9,1,,100.0,0.0,2024-12-31
CUST-0078,drifting,60.5,93.0,0,6,0.45,1,5.0,4.6,0,6.0,82.3,0.0,2024-12-31
CUST-0079,struggling,63.1,,0,68,0.138,1,9.9,2.9,0,,58.1,0.0,2024-12-31
CUST-0080,critical,24.3,43.9,0,68,0.033,0,17.2,2.7,0,1.0,31.7,0.0,2024-12-31
CUST-0081,champion,100.0,98.4,5,2,0.422,0,1.6,4.5,1,10.0,100.0,0.0,2024-12-31
CUST-0082,drifting,59.3,55.5,1,25,0.337,1,5.1,3.6,0,,61.5,0.0,2024-12-31
CUST-0083,champion,96.4,75.6,9,3,0.484,0,1.2,4.8,1,9.0,100.0,0.0,2024-12-31
CUST-0084,champion,92.7,100.0,12,2,0.621,0,1.0,5.0,1,10.0,100.0,0.0,2024-12-31
CUST-0085,drifting,56.1,84.4,2,15,0.257,2,5.9,3.3,0,5.0,81.5,0.0,2024-12-31
CUST-0086,struggling,62.6,26.3,3,120,0.223,1,6.1,3.4,0,2.0,51.7,0.0,2024-12-31
CUST-0087,drifting,71.6,77.9,9,7,0.283,0,5.8,3.6,1,6.0,55.3,0.0,2024-12-31
CUST-0088,champion,92.1,100.0,4,1,0.591,0,2.0,4.3,0,,95.1,53.71,2024-12-31
CUST-0089,drifting,74.4,80.9,4,55,0.387,0,4.0,4.6,0,6.0,90.8,0.0,2024-12-31
CUST-0090,struggling,50.6,44.7,6,20,0.093,0,5.4,2.2,0,,55.3,0.0,2024-12-31
CUST-0091,struggling,43.0,39.2,3,18,0.203,2,10.8,3.4,0,6.0,46.9,0.0,2024-12-31
CUST-0092,struggling,52.4,51.4,6,36,0.297,1,7.6,2.4,1,,60.5,0.0,2024-12-31
CUST-0093,champion,96.2,83.7,8,13,0.533,0,1.2,4.8,1,8.0,100.0,0.0,2024-12-31
CUST-0094,drifting,68.6,58.5,3,15,0.435,0,4.5,3.8,0,8.0,85.9,0.0,2024-12-31
CUST-0095,critical,45.6,56.7,0,34,0.09,2,12.5,2.5,0,,15.5,0.0,2024-12-31
CUST-0096,critical,23.1,,0,58,0.0,8,21.0,2.4,0,,25.6,0.0,2024-12-31
CUST-0097,champion,97.4,98.4,15,5,0.533,0,1.2,4.8,1,,100.0,0.0,2024-12-31
CUST-0098,healthy,88.5,86.1,5,2,0.4,0,2.5,4.5,0,,93.0,0.0,2024-12-31
CUST-0099,champion,88.6,100.0,9,1,0.575,1,1.8,4.8,1,,100.0,0.0,2024-12-31
CUST-0100,champion,92.2,91.0,11,1,0.447,0,1.9,4.5,1,,86.5,0.0,2024-12-31
CUST-0101,struggling,59.5,78.9,3,43,0.01,3,10.8,3.4,0,,54.2,0.0,2024-12-31
CUST-0102,champion,98.5,100.0,8,11,0.435,0,1.0,5.0,0,,100.0,0.0,2024-12-31
CUST-0103,champion,93.2,82.9,7,1,0.425,0,1.7,4.7,1,,100.0,0.0,2024-12-31
CUST-0104,drifting,74.4,65.2,6,37,0.352,0,7.0,4.1,0,5.0,86.6,0.0,2024-12-31
CUST-0105,drifting,76.4,54.0,4,2,0.212,0,3.9,3.5,0,8.0,87.4,0.0,2024-12-31
CUST-0106,champion,87.6,94.4,7,2,0.65,0,0.5,5.0,1,10.0,100.0,381.11,2024-12-31
CUST-0107,critical,22.7,,1,2,0.128,3,15.8,3.1,0,,27.8,0.0,2024-12-31
CUST-0108,struggling,65.5,48.5,3,15,0.092,1,8.5,2.4,0,6.0,50.3,0.0,2024-12-31
CUST-0109,struggling,57.3,34.2,5,8,0.242,0,11.5,3.9,0,4.0,61.7,0.0,2024-12-31
CUST-0110,champion,95.4,92.8,13,6,0.655,0,1.6,5.0,1,9.0,100.0,0.0,2024-12-31
CUST-0111,champion,93.2,100.0,13,5,0.768,0,1.3,4.4,1,,100.0,0.0,2024-12-31
CUST-0112,drifting,67.2,77.1,6,13,0.453,0,3.3,3.8,0,6.0,81.0,0.0,2024-12-31
CUST-0113,drifting,67.5,71.4,6,25,0.269,0,7.4,2.7,0,7.0,77.1,0.0,2024-12-31
CUST-0114,critical,66.0,,1,120,0.258,4,20.2,3.0,0,3.0,35.1,0.0,2024-12-31
CUST-0115,champion,97.1,92.9,7,9,0.495,1,1.5,5.0,1,,100.0,0.0,2024-12-31
CUST-0116,champion,96.2,86.0,13,1,0.265,0,1.6,4.3,1,,92.3,0.0,2024-12-31
CUST-0117,drifting,82.4,61.9,5,70,0.124,0,5.1,2.9,0,5.0,71.8,0.0,2024-12-31
CUST-0118,drifting,81.0,61.5,3,19,0.237,0,5.8,3.3,1,,63.3,0.0,2024-12-31
CUST-0119,healthy,98.5,85.9,9,7,0.37,0,2.4,4.2,1,7.0,91.5,0.0,2024-12-31
CUST-0120,critical,48.2,37.1,3,24,0.072,3,16.0,2.1,0,1.0,22.8,0.0,2024-12-31
CUST-0121,healthy,88.7,80.2,10,5,0.609,0,1.8,4.5,1,,96.9,0.0,2024-12-31
CUST-0122,struggling,58.3,,0,22,0.161,5,9.5,3.4,0,,57.2,0.0,2024-12-31
CUST-0123,healthy,92.6,94.8,9,4,0.286,0,2.7,4.2,1,9.0,90.3,0.0,2024-12-31
CUST-0124,drifting,75.0,72.9,5,16,0.336,0,6.8,2.9,0,,83.3,0.0,2024-12-31
CUST-0125,critical,46.4,49.4,1,110,0.218,0,11.1,1.2,0,0.0,28.5,0.0,2024-12-31
CUST-0126,drifting,59.0,90.7,3,9,0.125,0,7.5,4.0,0,,74.1,0.0,2024-12-31
CUST-0127,drifting,65.8,99.9,6,14,0.248,0,5.0,2.8,0,,78.9,0.0,2024-12-31
CUST-0128,healthy,76.1,92.9,16,7,0.468,0,3.1,4.3,1,,100.0,0.0,2024-12-31
CUST-0129,healthy,86.6,81.0,9,5,0.372,0,1.8,4.3,1,9.0,84.0,1218.98,2024-12-31
CUST-0130,healthy,94.4,91.8,5,10,0.34,0,2.9,3.8,0,,80.8,0.0,2024-12-31
CUST-0131,drifting,72.9,49.7,3,16,0.312,1,4.9,3.7,0,8.0,92.7,0.0,2024-12-31
CUST-0132,struggling,56.7,,4,81,0.218,4,7.2,3.2,0,5.0,52.4,0.0,2024-12-31
CUST-0133,healthy,81.8,90.5,10,4,0.333,0,4.2,3.7,0,8.0,100.0,174.78,2024-12-31
CUST-0134,healthy,89.1,73.6,10,1,0.445,0,2.4,3.6,0,,100.0,927.15,2024-12-31
CUST-0135,drifting,74.4,88.8,1,13,0.2,0,6.5,4.1,0,5.0,90.6,0.0,2024-12-31
CUST-0136,struggling,58.6,43.2,0,3,0.236,1,6.3,2.8,0,2.0,56.8,0.0,2024-12-31
CUST-0137,drifting,65.1,71.7,1,42,0.326,0,6.8,2.9,0,5.0,94.9,0.0,2024-12-31
CUST-0138,healthy,96.0,86.3,7,6,0.394,0,3.0,4.2,1,,89.6,0.0,2024-12-31
CUST-0139,healthy,80.6,73.6,10,8,0.347,0,3.4,4.3,1,9.0,90.7,127.58,2024-12-31
CUST-0140,struggling,82.8,,2,3,0.127,3,6.1,2.3,0,,58.9,0.0,2024-12-31
CUST-0141,critical,28.1,,0,120,0.0,5,16.4,1.9,0,3.0,34.1,0.0,2024-12-31
CUST-0142,critical,50.9,,0,120,0.137,1,10.3,1.8,0,,31.3,0.0,2024-12-31
CUST-0143,drifting,62.7,86.8,4,34,0.297,2,6.2,2.2,0,8.0,80.3,0.0,2024-12-31
CUST-0144,healthy,86.4,77.6,9,1,0.406,1,2.5,3.4,1,8.0,100.0,990.66,2024-12-31
CUST-0145,struggling,43.7,49.8,1,36,0.24,0,10.1,2.7,0,,39.3,0.0,2024-12-31
CUST-0146,drifting,85.4,70.5,4,82,0.224,0,4.1,3.3,0,7.0,78.7,0.0,2024-12-31
CUST-0147,drifting,68.5,70.8,5,33,0.28,1,6.4,3.0,0,5.0,70.2,0.0,2024-12-31
CUST-0148,healthy,84.7,80.3,10,1,0.283,1,2.1,3.2,1,8.0,87.6,0.0,2024-12-31
CUST-0149,healthy,82.7,86.0,2,1,0.418,0,2.5,4.7,0,9.0,87.5,27.56,2024-12-31
CUST-0150,struggling,53.1,,1,6,0.087,2,6.7,3.7,0,5.0,61.8,0.0,2024-12-31
CUST-0151,drifting,70.1,59.0,11,23,0.12,1,4.9,4.0,0,7.0,63.2,0.0,2024-12-31
CUST-0152,healthy,94.5,95.1,8,7,0.48,0,1.9,4.2,1,8.0,90.8,0.0,2024-12-31
CUST-0153,critical,62.1,31.7,2,5,0.043,1,9.5,1.3,0,1.0,28.0,0.0,2024-12-31
CUST-0154,struggling,69.4,,0,41,0.135,0,12.2,3.2,0,3.0,56.5,0.0,2024-12-31
CUST-0155,critical,51.9,21.7,0,14,0.23,3,11.6,3.0,0,,28.2,0.0,2024-12-31
CUST-0156,drifting,88.2,78.8,5,21,0.244,1,3.4,2.5,0,,70.8,0.0,2024-12-31
CUST-0157,drifting,90.5,53.0,4,43,0.252,4,6.4,3.4,0,7.0,68.3,0.0,2024-12-31
CUST-0158,healthy,95.6,87.1,9,11,0.296,0,2.8,3.9,1,8.0,98.5,173.13,2024-12-31
CUST-0159,struggling,48.7,,2,26,0.229,2,10.5,1.7,0,5.0,54.8,0.0,2024-12-31
CUST-0160,struggling,64.0,58.7,6,6,0.247,3,8.9,3.6,0,,48.5,0.0,2024-12-31
CUST-0161,struggling,49.9,56.7,0,50,0.06,2,5.1,2.1,0,3.0,54.1,0.0,2024-12-31
CUST-0162,healthy,83.3,72.7,6,10,0.191,0,3.2,4.9,1,9.0,100.0,0.0,2024-12-31
CUST-0163,drifting,65.2,84.7,3,1,0.225,1,7.3,4.5,0,,97.0,0.0,2024-12-31
CUST-0164,healthy,98.4,95.0,10,2,0.459,0,3.5,4.1,1,,99.4,0.0,2024-12-31
CUST-0165,healthy,83.3,89.4,13,12,0.123,0,2.0,3.5,1,8.0,100.0,0.0,2024-12-31
CUST-0166,struggling,54.0,,1,34,0.199,3,12.1,2.6,0,,59.6,0.0,2024-12-31
CUST-0167,critical,54.8,5.0,0,29,0.115,4,7.5,1.7,0,1.0,27.6,0.0,2024-12-31
CUST-0168,healthy,88.4,79.6,11,5,0.397,0,3.2,4.5,0,9.0,100.0,0.0,2024-12-31
CUST-0169,struggling,59.3,,0,5,0.257,1,8.7,2.7,0,,66.8,0.0,2024-12-31
CUST-0170,critical,25.7,20.4,2,20,0.117,2,23.5,1.0,0,,24.1,0.0,2024-12-31
CUST-0171,healthy,91.3,89.8,7,1,0.425,0,1.3,4.0,1,8.0,100.0,0.0,2024-12-31
CUST-0172,healthy,90.8,67.9,9,4,0.264,0,2.8,3.9,1,8.0,95.1,0.0,2024-12-31
CUST-0173,drifting,64.7,71.2,6,14,0.25,1,4.9,3.1,0,7.0,69.7,0.0,2024-12-31
CUST-0174,healthy,78.4,81.1,7,4,0.601,0,4.0,4.8,1,,100.0,0.0,2024-12-31
CUST-0175,healthy,86.3,74.6,8,12,0.335,0,3.4,3.9,0,8.0,95.6,0.0,2024-12-31
CUST-0176,drifting,59.0,69.7,3,12,0.331,1,4.9,3.6,0,8.0,85.6,0.0,2024-12-31
CUST-0177,struggling,46.0,,0,56,0.295,4,9.5,2.8,0,,43.4,0.0,2024-12-31
CUST-0178,drifting,79.7,75.2,3,31,0.363,1,4.2,3.2,0,,65.1,0.0,2024-12-31
CUST-0179,drifting,74.7,79.1,4,19,0.164,1,7.1,3.0,0,8.0,77.7,0.0,2024-12-31
CUST-0180,drifting,75.9,65.8,6,3,0.283,1,3.8,3.8,0,,79.9,0.0,2024-12-31
CUST-0181,healthy,87.6,85.0,12,3,0.435,0,2.4,4.2,1,8.0,96.5,51.56,2024-12-31
CUST-0182,healthy,72.6,76.2,10,1,0.484,0,2.1,4.0,1,9.0,100.0,0.0,2024-12-31
CUST-0183,healthy,82.0,59.4,9,7,0.526,0,2.2,4.2,1,9.0,100.0,0.0,2024-12-31
CUST-0184,critical,39.9,43.2,0,25,0.034,3,20.2,1.1,0,2.0,28.1,0.0,2024-12-31
CUST-0185,drifting,73.1,95.5,2,1,0.212,4,3.0,3.7,0,6.0,88.7,0.0,2024-12-31
CUST-0186,drifting,69.8,77.8,8,2,0.11,2,4.2,3.5,0,8.0,63.3,0.0,2024-12-31
CUST-0187,healthy,88.0,83.8,12,2,0.356,1,2.7,4.6,1,,100.0,0.0,2024-12-31
CUST-0188,healthy,82.8,89.0,4,1,0.437,0,1.1,4.1,0,7.0,100.0,0.0,2024-12-31
CUST-0189,struggling,35.7,65.5,5,1,0.094,2,13.6,3.2,0,,54.6,0.0,2024-12-31
CUST-0190,drifting,66.2,69.6,3,107,0.287,0,5.5,4.1,0,5.0,92.3,0.0,2024-12-31
CUST-0191,struggling,58.2,,3,67,0.199,2,13.0,2.6,0,,62.5,0.0,2024-12-31
CUST-0192,drifting,80.0,71.6,8,19,0.169,0,6.1,3.0,0,6.0,86.1,0.0,2024-12-31
CUST-0193,struggling,55.4,,1,40,0.0,3,10.5,2.4,0,3.0,60.0,0.0,2024-12-31
CUST-0194,healthy,78.1,75.0,8,1,0.378,0,1.4,4.5,1,8.0,79.5,1000.47,2024-12-31
CUST-0195,struggling,56.0,27.5,2,61,0.105,2,16.4,2.9,0,,53.8,0.0,2024-12-31
CUST-0196,healthy,81.5,78.2,6,5,0.398,0,2.0,3.6,0,,100.0,445.56,2024-12-31
CUST-0197,healthy,75.2,64.3,8,7,0.451,2,2.1,4.0,1,8.0,95.4,0.0,2024-12-31
CUST-0198,drifting,73.3,91.0,6,2,0.197,0,4.7,3.0,0,8.0,55.8,0.0,2024-12-31
CUST-0199,healthy,85.2,82.5,7,22,0.335,0,3.4,4.2,0,,100.0,0.0,2024-12-31
CUST-0200,healthy,86.1,89.5,8,7,0.438,0,1.6,4.2,0,7.0,100.0,0.0,2024-12-31
CUST-0201,struggling,54.6,48.7,5,32,0.0,4,11.0,2.1,0,4.0,30.8,0.0,2024-12-31
CUST-0202,healthy,91.5,92.7,7,4,0.453,2,3.1,3.5,0,9.0,89.9,762.61,2024-12-31
CUST-0203,struggling,70.7,24.0,7,17,0.293,0,5.7,2.6,0,3.0,45.0,0.0,2024-12-31
CUST-0204,drifting,79.0,86.7,7,8,0.265,0,6.4,4.3,0,5.0,71.8,0.0,2024-12-31
CUST-0205,drifting,60.9,60.1,4,23,0.308,0,3.3,3.8,0,,68.6,0.0,2024-12-31
CUST-0206,drifting,72.1,62.3,4,1,0.17,0,4.6,4.3,0,,74.6,0.0,2024-12-31
CUST-0207,healthy,89.4,78.4,7,7,0.367,0,1.4,3.7,0,,85.7,26.41,2024-12-31
CUST-0208,struggling,56.7,81.7,8,54,0.158,1,5.6,2.3,0,2.0,57.3,0.0,2024-12-31
CUST-0209,critical,38.9,,2,27,0.0,6,25.4,2.8,0,1.0,28.4,0.0,2024-12-31
CUST-0210,healthy,83.3,67.7,11,6,0.343,0,2.9,4.1,1,,100.0,0.0,2024-12-31
CUST-0211,drifting,74.5,59.1,6,41,0.318,1,2.3,4.1,0,5.0,71.8,0.0,2024-12-31
CUST-0212,healthy,80.6,74.5,7,5,0.537,2,2.3,4.4,0,,100.0,384.54,2024-12-31
CUST-0213,drifting,77.8,76.2,4,4,0.397,1,4.8,4.0,0,,78.9,0.0,2024-12-31
CUST-0214,drifting,93.0,71.1,8,25,0.256,0,5.6,4.1,0,6.0,75.8,0.0,2024-12-31
CUST-0215,healthy,82.8,71.9,7,25,0.495,0,2.9,4.5,1,8.0,90.1,0.0,2024-12-31
CUST-0216,healthy,88.5,75.2,9,11,0.518,0,3.3,3.9,1,8.0,96.8,278.95,2024-12-31
CUST-0217,healthy,85.9,63.7,5,1,0.321,2,2.5,4.4,1,,95.0,0.0,2024-12-31
CUST-0218,healthy,83.2,79.3,11,9,0.4,0,1.9,4.5,0,9.0,82.1,189.93,2024-12-31
CUST-0219,critical,29.2,33.2,3,120,0.054,5,1.5,2.1,0,3.0,11.0,0.0,2024-12-31
CUST-0220,struggling,76.6,73.3,4,10,0.131,3,10.5,2.4,0,3.0,57.2,0.0,2024-12-31
CUST-0221,healthy,91.3,61.5,8,1,0.348,1,2.5,4.2,0,,99.2,1410.95,2024-12-31
CUST-0222,healthy,84.0,83.4,10,3,0.313,0,1.9,4.0,1,8.0,99.8,0.0,2024-12-31
CUST-0223,drifting,79.9,72.1,5,11,0.257,1,4.9,4.5,0,8.0,84.0,0.0,2024-12-31
CUST-0224,healthy,95.4,67.1,9,8,0.318,0,2.6,4.3,0,8.0,96.2,109.31,2024-12-31
CUST-0225,struggling,51.6,44.8,3,16,0.18,2,5.2,2.0,0,,53.8,0.0,2024-12-31
CUST-0226,healthy,93.4,78.2,7,8,0.448,0,2.4,4.6,1,9.0,100.0,0.0,2024-12-31
CUST-0227,healthy,95.6,73.5,4,8,0.313,0,3.7,3.9,0,,100.0,0.0,2024-12-31
CUST-0228,healthy,87.2,80.1,9,1,0.259,0,1.7,3.6,1,8.0,86.3,0.0,2024-12-31
CUST-0229,critical,22.1,,0,33,0.0,0,19.8,2.4,0,1.0,55.3,0.0,2024-12-31
CUST-0230,healthy,85.7,100.0,11,2,0.472,0,2.3,4.3,1,,99.2,804.59,2024-12-31
CUST-0231,struggling,66.8,39.6,0,17,0.206,1,9.1,2.9,0,2.0,50.8,0.0,2024-12-31
CUST-0232,critical,41.4,31.9,5,32,0.04,2,15.2,3.2,0,1.0,24.6,0.0,2024-12-31
CUST-0233,healthy,86.1,84.2,5,1,0.338,1,1.8,4.3,1,,100.0,63.68,2024-12-31
CUST-0234,healthy,83.8,67.4,11,8,0.319,1,3.2,4.2,1,9.0,88.9,0.0,2024-12-31
CUST-0235,struggling,51.2,54.8,1,5,0.389,1,10.6,2.5,0,4.0,56.3,0.0,2024-12-31
CUST-0236,struggling,57.7,66.6,2,23,0.0,0,8.5,2.1,0,6.0,69.3,0.0,2024-12-31
CUST-0237,healthy,88.7,85.8,11,2,0.433,0,1.5,4.3,1,9.0,100.0,324.06,2024-12-31
CUST-0238,drifting,72.4,76.1,3,47,0.323,1,7.7,3.4,0,,73.2,0.0,2024-12-31
CUST-0239,healthy,90.3,67.5,6,6,0.447,0,3.7,3.7,0,8.0,89.4,0.0,2024-12-31
CUST-0240,healthy,89.6,91.4,7,10,0.385,0,4.1,4.1,1,8.0,86.0,71.82,2024-12-31
CUST-0241,struggling,50.7,41.2,5,120,0.162,4,4.7,2.4,0,3.0,39.7,0.0,2024-12-31
CUST-0242,healthy,90.7,60.0,10,8,0.329,1,1.4,4.2,1,9.0,89.7,0.0,2024-12-31
CUST-0243,critical,41.0,,0,21,0.091,4,19.7,1.8,0,1.0,30.7,0.0,2024-12-31
CUST-0244,healthy,94.5,77.2,10,1,0.053,0,2.8,4.1,0,9.0,80.5,426.78,2024-12-31
