customer_id,segment,country,legacy_system,vehicle_count,mrr,arr,health_score,health_tier,renewal_risk,months_to_renewal,renewal_date,renewal_probability,expected_renewal_arr,arr_at_risk,expansion_potential_arr,gps_adoption_pct,days_since_last_login,open_support_tickets,csat_score,qbr_completed_this_quarter,recommended_intervention
CUST-0170,SMB,DE,Optimum Automotive,18,440.3,5283.6,30.3,Red,High,9,2025-09-27,0.55,2905.98,2377.62,0.0,25.7,20,2,1.0,0,CSM-led Health Review + Product Training
CUST-0241,SMB,DE,Avrios,18,439.38,5272.56,41.7,Amber,High,1,2025-01-30,0.55,2899.91,2372.65,0.0,50.7,120,4,2.4,0,CSM-led Health Review + Product Training
CUST-0109,SMB,DE,New Logo,19,421.63,5059.56,61.1,Amber,High,1,2025-01-30,0.55,2782.76,2276.8,0.0,57.3,8,0,3.9,0,CSM-led Health Review + Product Training
CUST-0146,SMB,DE,Avrios,16,393.91,4726.92,64.0,Amber,High,2,2025-03-01,0.55,2599.81,2127.11,0.0,85.4,82,0,3.3,0,CSM-led Health Review + Product Training
CUST-0167,SMB,DE,New Logo,18,393.21,4718.52,30.2,Red,High,9,2025-09-27,0.55,2595.19,2123.33,0.0,54.8,29,4,1.7,0,CSM-led Health Review + Product Training
CUST-0235,SMB,CH,New Logo,20,374.75,4497.0,57.8,Amber,High,2,2025-03-01,0.55,2473.35,2023.65,0.0,51.2,5,1,2.5,0,CSM-led Health Review + Product Training
CUST-0011,SMB,CH,New Logo,20,365.14,4381.68,49.5,Amber,High,2,2025-03-01,0.55,2409.92,1971.76,0.0,61.2,62,0,1.9,0,CSM-led Health Review + Product Training
CUST-0131,SMB,AT,Vimcar,13,357.97,4295.64,66.2,Amber,High,3,2025-03-31,0.55,2362.6,1933.04,0.0,72.9,16,1,3.7,0,CSM-led Health Review + Product Training
CUST-0120,SMB,CH,New Logo,15,348.91,4186.92,34.4,Red,High,7,2025-07-29,0.55,2302.81,1884.11,0.0,48.2,24,3,2.1,0,CSM-led Health Review + Product Training
CUST-0080,SMB,CH,Optimum Automotive,19,348.82,4185.84,27.2,Red,High,7,2025-07-29,0.55,2302.21,1883.63,0.0,24.3,68,0,2.7,0,CSM-led Health Review + Product Training
CUST-0068,SMB,DE,New Logo,17,347.43,4169.16,60.0,Amber,High,2,2025-03-01,0.55,2293.04,1876.12,0.0,58.4,1,2,3.9,0,CSM-led Health Review + Product Training
CUST-0070,SMB,CH,Vimcar,15,320.98,3851.76,43.9,Amber,High,1,2025-01-30,0.55,2118.47,1733.29,0.0,34.7,61,2,2.6,0,CSM-led Health Review + Product Training
CUST-0082,SMB,DE,New Logo,16,314.62,3775.44,57.3,Amber,High,3,2025-03-31,0.55,2076.49,1698.95,0.0,59.3,25,1,3.6,0,CSM-led Health Review + Product Training
CUST-0091,SMB,AT,Vimcar,13,308.73,3704.76,46.9,Amber,High,3,2025-03-31,0.55,2037.62,1667.14,0.0,43.0,18,2,3.4,0,CSM-led Health Review + Product Training
CUST-0186,SMB,DE,New Logo,11,304.22,3650.64,69.6,Amber,High,3,2025-03-31,0.55,2007.85,1642.79,0.0,69.8,2,2,3.5,0,CSM-led Health Review + Product Training
CUST-0220,SMB,DE,New Logo,13,300.7,3608.4,55.8,Amber,High,1,2025-01-30,0.55,1984.62,1623.78,0.0,76.6,10,3,2.4,0,CSM-led Health Review + Product Training
CUST-0231,SMB,DE,New Logo,13,300.14,3601.68,46.9,Amber,High,3,2025-03-31,0.55,1980.92,1620.76,0.0,66.8,17,1,2.9,0,CSM-led Health Review + Product Training
CUST-0125,SMB,DE,Avrios,12,289.0,3468.0,37.1,Red,High,7,2025-07-29,0.55,1907.4,1560.6,0.0,46.4,110,0,1.2,0,CSM-led Health Review + Product Training
CUST-0248,SMB,DE,New Logo,12,288.8,3465.6,62.0,Amber,High,2,2025-03-01,0.55,1906.08,1559.52,0.0,67.9,21,1,3.7,0,CSM-led Health Review + Product Training
CUST-0160,SMB,DE,Optimum Automotive,13,279.64,3355.68,62.2,Amber,High,1,2025-01-30,0.55,1845.62,1510.06,0.0,64.0,6,3,3.6,0,CSM-led Health Review + Product Training
CUST-0071,SMB,CH,Optimum Automotive,11,277.87,3334.44,55.0,Amber,High,2,2025-03-01,0.55,1833.94,1500.5,0.0,75.0,5,2,3.5,0,CSM-led Health Review + Product Training
CUST-0219,SMB,AT,Vimcar,10,243.95,2927.4,27.8,Red,High,8,2025-08-28,0.55,1610.07,1317.33,0.0,29.2,120,5,2.1,0,CSM-led Health Review + Product Training
CUST-0051,SMB,CH,Avrios,10,230.05,2760.6,48.3,Amber,High,2,2025-03-01,0.55,1518.33,1242.27,0.0,45.5,8,1,3.5,0,CSM-led Health Review + Product Training
CUST-0147,SMB,DE,Vimcar,10,201.56,2418.72,62.0,Amber,High,1,2025-01-30,0.55,1330.3,1088.42,0.0,68.5,33,1,3.0,0,CSM-led Health Review + Product Training
CUST-0033,SMB,DE,New Logo,11,199.56,2394.72,46.6,Amber,High,3,2025-03-31,0.55,1317.1,1077.62,0.0,72.4,61,4,3.5,0,CSM-led Health Review + Product Training
CUST-0184,SMB,CH,New Logo,7,176.48,2117.76,27.3,Red,High,9,2025-09-27,0.55,1164.77,952.99,0.0,39.9,25,3,1.1,0,CSM-led Health Review + Product Training
CUST-0136,SMB,DE,Vimcar,8,156.38,1876.56,55.0,Amber,High,3,2025-03-31,0.55,1032.11,844.45,0.0,58.6,3,1,2.8,0,CSM-led Health Review + Product Training
CUST-0095,SMB,DE,New Logo,6,145.69,1748.28,34.6,Red,High,9,2025-09-27,0.55,961.55,786.73,0.0,45.6,34,2,2.5,0,CSM-led Health Review + Product Training
CUST-0057,SMB,DE,New Logo,5,132.89,1594.68,54.0,Amber,High,1,2025-01-30,0.55,877.07,717.61,0.0,67.1,80,3,3.0,0,CSM-led Health Review + Product Training
CUST-0013,SMB,DE,New Logo,5,124.86,1498.32,64.4,Amber,High,3,2025-03-31,0.55,824.08,674.24,0.0,73.6,65,0,4.7,0,CSM-led Health Review + Product Training
CUST-0108,SMB,DE,New Logo,5,101.74,1220.88,50.6,Amber,High,2,2025-03-01,0.55,671.48,549.4,0.0,65.5,15,1,2.4,0,CSM-led Health Review + Product Training
CUST-0024,SMB,CH,Avrios,4,81.65,979.8,25.2,Red,High,8,2025-08-28,0.55,538.89,440.91,0.0,52.8,107,8,1.5,0,CSM-led Health Review + Product Training
CUST-0142,SMB,DE,Vimcar,4,77.67,932.04,37.0,Red,High,9,2025-09-27,0.55,512.62,419.42,0.0,50.9,120,1,1.8,0,CSM-led Health Review + Product Training
CUST-0122,SMB,AT,New Logo,3,75.82,909.84,43.7,Amber,High,3,2025-03-31,0.55,500.41,409.43,0.0,58.3,22,5,3.4,0,CSM-led Health Review + Product Training
CUST-0209,SMB,DE,New Logo,3,62.8,753.6,32.2,Red,High,9,2025-09-27,0.55,414.48,339.12,0.0,38.9,27,6,2.8,0,CSM-led Health Review + Product Training
CUST-0076,SMB,AT,New Logo,3,57.79,693.48,48.0,Amber,High,1,2025-01-30,0.55,381.41,312.07,0.0,52.2,73,1,3.2,0,CSM-led Health Review + Product Training
CUST-0193,SMB,DE,Avrios,2,44.3,531.6,37.5,Red,High,8,2025-08-28,0.55,292.38,239.22,0.0,55.4,40,3,2.4,0,CSM-led Health Review + Product Training
CUST-0140,SMB,AT,New Logo,2,39.61,475.32,64.2,Amber,High,2,2025-03-01,0.55,261.43,213.89,0.0,82.8,3,3,2.3,0,CSM-led Health Review + Product Training
CUST-0114,SMB,DE,Optimum Automotive,2,37.01,444.12,43.8,Amber,High,1,2025-01-30,0.55,244.27,199.85,0.0,66.0,120,4,3.0,0,CSM-led Health Review + Product Training
CUST-0221,Enterprise,DE,Vimcar,392,6298.87,75586.44,80.9,Green,Low,4,2025-04-30,0.92,69539.52,6046.92,16931.4,91.3,1,1,4.2,0,Automated Renewal Sequence + Expansion Play
CUST-0099,Enterprise,DE,New Logo,327,5822.01,69864.12,93.8,Green,Low,1,2025-01-30,0.92,64274.99,5589.13,0.0,88.6,1,1,4.8,1,Automated Renewal Sequence + Expansion Play
CUST-0230,Enterprise,AT,New Logo,362,5521.6,66259.2,94.2,Green,Low,1,2025-01-30,0.92,60958.46,5300.74,9655.08,85.7,2,0,4.3,1,Automated Renewal Sequence + Expansion Play
CUST-0244,Enterprise,DE,New Logo,376,5109.06,61308.72,77.1,Green,Low,7,2025-07-29,0.92,56404.02,4904.7,5121.36,94.5,1,0,4.1,0,Automated Renewal Sequence + Expansion Play
CUST-0183,Enterprise,DE,Vimcar,397,5076.16,60913.92,93.5,Green,Low,8,2025-08-28,0.92,56040.81,4873.11,0.0,82.0,7,0,4.2,1,Automated Renewal Sequence + Expansion Play
CUST-0034,Enterprise,DE,New Logo,364,5006.03,60072.36,91.2,Green,Low,1,2025-01-30,0.92,55266.57,4805.79,0.0,100.0,9,0,4.6,1,Automated Renewal Sequence + Expansion Play
CUST-0194,Enterprise,CH,Vimcar,278,4994.87,59938.44,92.6,Green,Low,8,2025-08-28,0.92,55143.36,4795.08,12005.64,78.1,1,0,4.5,1,Automated Renewal Sequence + Expansion Play
CUST-0115,Enterprise,DE,Optimum Automotive,370,4895.56,58746.72,88.5,Green,Low,1,2025-01-30,0.92,54046.98,4699.74,0.0,97.1,9,1,5.0,1,Automated Renewal Sequence + Expansion Play
CUST-0215,Enterprise,DE,New Logo,346,4705.71,56468.52,86.5,Green,Low,4,2025-04-30,0.92,51951.04,4517.48,0.0,82.8,25,0,4.5,1,Automated Renewal Sequence + Expansion Play
CUST-0171,Enterprise,DE,Vimcar,305,4619.05,55428.6,94.4,Green,Low,4,2025-04-30,0.92,50994.31,4434.29,0.0,91.3,1,0,4.0,1,Automated Renewal Sequence + Expansion Play
CUST-0054,Enterprise,DE,Vimcar,376,4602.76,55233.12,90.0,Green,Low,6,2025-06-29,0.92,50814.47,4418.65,0.0,89.8,8,0,4.4,1,Automated Renewal Sequence + Expansion Play
CUST-0134,Enterprise,DE,Avrios,262,4517.31,54207.72,84.2,Green,Low,6,2025-06-29,0.92,49871.1,4336.62,11125.8,89.1,1,0,3.6,0,Automated Renewal Sequence + Expansion Play
CUST-0129,Enterprise,DE,New Logo,301,4427.51,53130.12,91.7,Green,Low,6,2025-06-29,0.92,48879.71,4250.41,14627.76,86.6,5,0,4.3,1,Automated Renewal Sequence + Expansion Play
CUST-0187,Enterprise,DE,New Logo,269,4322.79,51873.48,92.2,Green,Low,7,2025-07-29,0.92,47723.6,4149.88,0.0,88.0,2,1,4.6,1,Automated Renewal Sequence + Expansion Play
CUST-0087,Enterprise,DE,New Logo,316,4276.1,51313.2,80.7,Green,Low,9,2025-09-27,0.92,47208.14,4105.06,0.0,71.6,7,0,3.6,1,Automated Renewal Sequence + Expansion Play
CUST-0144,Enterprise,DE,New Logo,240,3919.1,47029.2,90.6,Green,Low,4,2025-04-30,0.92,43266.86,3762.34,11887.92,86.4,1,1,3.4,1,Automated Renewal Sequence + Expansion Play
CUST-0111,Enterprise,AT,New Logo,270,3591.98,43103.76,94.0,Green,Low,3,2025-03-31,0.92,39655.46,3448.3,0.0,93.2,5,0,4.4,1,Automated Renewal Sequence + Expansion Play
CUST-0199,Enterprise,AT,Avrios,203,2947.35,35368.2,75.7,Green,Low,3,2025-03-31,0.92,32538.74,2829.46,0.0,85.2,22,0,4.2,0,Automated Renewal Sequence + Expansion Play
CUST-0202,Enterprise,AT,New Logo,176,2813.58,33762.96,79.6,Green,Low,4,2025-04-30,0.92,31061.92,2701.04,9151.32,91.5,4,2,3.5,0,Automated Renewal Sequence + Expansion Play
CUST-0039,Enterprise,DE,Avrios,208,2643.83,31725.96,98.2,Green,Low,5,2025-05-30,0.92,29187.88,2538.08,0.0,97.4,1,0,4.8,1,Automated Renewal Sequence + Expansion Play
CUST-0196,Enterprise,DE,Avrios,152,2516.06,30192.72,81.9,Green,Low,1,2025-01-30,0.92,27777.3,2415.42,5346.72,81.5,5,0,3.6,0,Automated Renewal Sequence + Expansion Play
CUST-0128,Enterprise,DE,Optimum Automotive,139,2379.23,28550.76,91.5,Green,Low,1,2025-01-30,0.92,26266.7,2284.06,0.0,76.1,7,0,4.3,1,Automated Renewal Sequence + Expansion Play
CUST-0228,Enterprise,AT,New Logo,183,2330.66,27967.92,88.4,Green,Low,4,2025-04-30,0.92,25730.49,2237.43,0.0,87.2,1,0,3.6,1,Automated Renewal Sequence + Expansion Play
CUST-0164,Enterprise,DE,Avrios,158,2312.9,27754.8,93.2,Green,Low,1,2025-01-30,0.92,25534.42,2220.38,0.0,98.4,2,0,4.1,1,Automated Renewal Sequence + Expansion Play
CUST-0110,Enterprise,DE,Avrios,131,2227.28,26727.36,97.3,Green,Low,3,2025-03-31,0.92,24589.17,2138.19,0.0,95.4,6,0,5.0,1,Automated Renewal Sequence + Expansion Play
CUST-0237,Enterprise,DE,New Logo,147,2145.57,25746.84,96.7,Green,Low,6,2025-06-29,0.92,23687.09,2059.75,3888.72,88.7,2,0,4.3,1,Automated Renewal Sequence + Expansion Play
CUST-0084,Enterprise,DE,Avrios,155,2087.1,25045.2,100.0,Green,Low,5,2025-05-30,0.92,23041.58,2003.62,0.0,92.7,2,0,5.0,1,Automated Renewal Sequence + Expansion Play
CUST-0077,Enterprise,DE,Vimcar,132,2000.55,24006.6,93.9,Green,Low,2,2025-03-01,0.92,22086.07,1920.53,0.0,92.8,2,0,4.9,1,Automated Renewal Sequence + Expansion Play
CUST-0133,Enterprise,DE,Avrios,111,1722.59,20671.08,82.8,Green,Low,7,2025-07-29,0.92,19017.39,1653.69,2097.36,81.8,4,0,3.7,0,Automated Renewal Sequence + Expansion Play
CUST-0007,Enterprise,DE,New Logo,96,1698.98,20387.76,100.0,Green,Low,8,2025-08-28,0.92,18756.74,1631.02,0.0,97.6,1,0,5.0,1,Automated Renewal Sequence + Expansion Play
CUST-0106,Mid-Market,DE,Avrios,79,1572.7,18872.4,98.0,Green,Low,2,2025-03-01,0.92,17362.61,1509.79,4573.32,87.6,2,0,5.0,1,Automated Renewal Sequence + Expansion Play
CUST-0212,Mid-Market,DE,Avrios,76,1488.85,17866.2,79.8,Green,Low,4,2025-04-30,0.92,16436.9,1429.3,4614.48,80.6,5,2,4.4,0,Automated Renewal Sequence + Expansion Play
CUST-0103,Mid-Market,CH,Avrios,68,1340.03,16080.36,93.5,Green,Low,7,2025-07-29,0.92,14793.93,1286.43,0.0,93.2,1,0,4.7,1,Automated Renewal Sequence + Expansion Play
CUST-0055,Mid-Market,DE,Avrios,79,1338.82,16065.84,96.8,Green,Low,7,2025-07-29,0.92,14780.57,1285.27,0.0,94.0,5,0,4.3,1,Automated Renewal Sequence + Expansion Play
CUST-0118,Mid-Market,AT,Vimcar,63,1327.1,15925.2,70.2,Green,Low,2,2025-03-01,0.92,14651.18,1274.02,0.0,81.0,19,0,3.3,1,Automated Renewal Sequence + Expansion Play
CUST-0022,Mid-Market,DE,Vimcar,75,1295.63,15547.56,94.8,Green,Low,1,2025-01-30,0.92,14303.76,1243.8,1065.96,93.5,13,0,4.5,1,Automated Renewal Sequence + Expansion Play
CUST-0139,Mid-Market,CH,Vimcar,60,1183.49,14201.88,89.1,Green,Low,8,2025-08-28,0.92,13065.73,1136.15,1530.96,80.6,8,0,4.3,1,Automated Renewal Sequence + Expansion Play
CUST-0239,Mid-Market,DE,New Logo,75,1166.4,13996.8,80.5,Green,Low,9,2025-09-27,0.92,12877.06,1119.74,0.0,90.3,6,0,3.7,0,Automated Renewal Sequence + Expansion Play
CUST-0001,Mid-Market,DE,Avrios,60,1124.33,13491.96,97.9,Green,Low,8,2025-08-28,0.92,12412.6,1079.36,1670.88,96.0,1,0,4.6,1,Automated Renewal Sequence + Expansion Play
CUST-0200,Mid-Market,DE,Avrios,59,1106.39,13276.68,86.7,Green,Low,3,2025-03-31,0.92,12214.55,1062.13,0.0,86.1,7,0,4.2,0,Automated Renewal Sequence + Expansion Play
CUST-0021,Mid-Market,AT,Vimcar,57,1098.52,13182.24,95.6,Green,Low,9,2025-09-27,0.92,12127.66,1054.58,0.0,98.8,2,0,4.7,1,Automated Renewal Sequence + Expansion Play
CUST-0093,Mid-Market,DE,New Logo,52,1083.15,12997.8,92.9,Green,Low,3,2025-03-31,0.92,11957.98,1039.82,0.0,96.2,13,0,4.8,1,Automated Renewal Sequence + Expansion Play
CUST-0066,Mid-Market,CH,Optimum Automotive,50,1081.47,12977.64,90.2,Green,Low,2,2025-03-01,0.92,11939.43,1038.21,0.0,92.9,1,0,4.8,0,Automated Renewal Sequence + Expansion Play
CUST-0062,Mid-Market,DE,New Logo,69,1059.93,12719.16,97.8,Green,Low,4,2025-04-30,0.92,11701.63,1017.53,2335.8,95.2,1,0,4.1,1,Automated Renewal Sequence + Expansion Play
CUST-0063,Mid-Market,DE,Vimcar,49,1037.13,12445.56,99.0,Green,Low,1,2025-01-30,0.92,11449.92,995.64,885.72,92.6,1,0,4.9,1,Automated Renewal Sequence + Expansion Play
CUST-0121,Mid-Market,DE,Avrios,53,1015.25,12183.0,93.4,Green,Low,4,2025-04-30,0.92,11208.36,974.64,0.0,88.7,5,0,4.5,1,Automated Renewal Sequence + Expansion Play
CUST-0168,Mid-Market,DE,Avrios,62,1011.7,12140.4,87.2,Green,Low,5,2025-05-30,0.92,11169.17,971.23,0.0,88.4,5,0,4.5,0,Automated Renewal Sequence + Expansion Play
CUST-0065,Mid-Market,AT,New Logo,56,999.93,11999.16,95.8,Green,Low,7,2025-07-29,0.92,11039.23,959.93,2172.72,90.6,1,0,4.5,1,Automated Renewal Sequence + Expansion Play
CUST-0019,Mid-Market,AT,Vimcar,48,997.45,11969.4,94.2,Green,Low,6,2025-06-29,0.92,11011.85,957.55,0.0,91.1,4,0,4.5,1,Automated Renewal Sequence + Expansion Play
CUST-0075,Mid-Market,DE,New Logo,45,986.35,11836.2,94.7,Green,Low,2,2025-03-01,0.92,10889.3,946.9,0.0,93.6,4,0,4.6,1,Automated Renewal Sequence + Expansion Play
CUST-0226,Mid-Market,CH,Vimcar,52,968.46,11621.52,91.6,Green,Low,8,2025-08-28,0.92,10691.8,929.72,0.0,93.4,8,0,4.6,1,Automated Renewal Sequence + Expansion Play
CUST-0138,Mid-Market,DE,Optimum Automotive,57,945.24,11342.88,90.8,Green,Low,5,2025-05-30,0.92,10435.45,907.43,0.0,96.0,6,0,4.2,1,Automated Renewal Sequence + Expansion Play
CUST-0130,Mid-Market,AT,New Logo,47,945.04,11340.48,76.6,Green,Low,1,2025-01-30,0.92,10433.24,907.24,0.0,94.4,10,0,3.8,0,Automated Renewal Sequence + Expansion Play
CUST-0224,Mid-Market,DE,Avrios,57,909.94,10919.28,81.8,Green,Low,9,2025-09-27,0.92,10045.74,873.54,1311.72,95.4,8,0,4.3,0,Automated Renewal Sequence + Expansion Play
CUST-0031,Mid-Market,AT,New Logo,51,863.71,10364.52,95.6,Green,Low,6,2025-06-29,0.92,9535.36,829.16,0.0,94.2,3,0,4.7,1,Automated Renewal Sequence + Expansion Play
CUST-0246,Mid-Market,AT,Vimcar,51,852.42,10229.04,92.4,Green,Low,7,2025-07-29,0.92,9410.72,818.32,0.0,87.9,1,0,3.8,1,Automated Renewal Sequence + Expansion Play
CUST-0083,Mid-Market,AT,New Logo,41,843.49,10121.88,97.2,Green,Low,2,2025-03-01,0.92,9312.13,809.75,0.0,96.4,3,0,4.8,1,Automated Renewal Sequence + Expansion Play
CUST-0152,Mid-Market,DE,New Logo,45,842.76,10113.12,93.8,Green,Low,7,2025-07-29,0.92,9304.07,809.05,0.0,94.5,7,0,4.2,1,Automated Renewal Sequence + Expansion Play
CUST-0041,Mid-Market,DE,Vimcar,40,840.85,10090.2,88.6,Green,Low,5,2025-05-30,0.92,9282.98,807.22,0.0,94.4,3,0,5.0,0,Automated Renewal Sequence + Expansion Play
CUST-0233,Mid-Market,DE,Vimcar,44,803.96,9647.52,87.5,Green,Low,9,2025-09-27,0.92,8875.72,771.8,764.16,86.1,1,1,4.3,1,Automated Renewal Sequence + Expansion Play
CUST-0222,Mid-Market,DE,Vimcar,44,771.54,9258.48,93.9,Green,Low,8,2025-08-28,0.92,8517.8,740.68,0.0,84.0,3,0,4.0,1,Automated Renewal Sequence + Expansion Play
CUST-0005,Mid-Market,CH,Vimcar,37,771.24,9254.88,88.6,Green,Low,2,2025-03-01,0.92,8514.49,740.39,879.72,98.4,1,0,4.2,0,Automated Renewal Sequence + Expansion Play
CUST-0058,Mid-Market,CH,Optimum Automotive,39,765.89,9190.68,90.7,Green,Low,7,2025-07-29,0.92,8455.43,735.25,0.0,94.4,5,0,4.2,1,Automated Renewal Sequence + Expansion Play
CUST-0217,Mid-Market,DE,Vimcar,40,724.86,8698.32,82.6,Green,Low,5,2025-05-30,0.92,8002.45,695.87,0.0,85.9,1,2,4.4,1,Automated Renewal Sequence + Expansion Play
CUST-0040,Mid-Market,DE,Avrios,35,715.04,8580.48,95.0,Green,Low,9,2025-09-27,0.92,7894.04,686.44,0.0,90.7,13,0,4.7,1,Automated Renewal Sequence + Expansion Play
CUST-0006,Mid-Market,CH,New Logo,43,712.49,8549.88,88.2,Green,Low,6,2025-06-29,0.92,7865.89,683.99,0.0,97.1,3,0,4.9,0,Automated Renewal Sequence + Expansion Play
CUST-0081,Mid-Market,AT,New Logo,35,707.96,8495.52,94.5,Green,Low,5,2025-05-30,0.92,7815.88,679.64,0.0,100.0,2,0,4.5,1,Automated Renewal Sequence + Expansion Play
CUST-0036,Mid-Market,CH,New Logo,32,696.27,8355.24,98.0,Green,Low,5,2025-05-30,0.92,7686.82,668.42,0.0,97.2,1,0,4.7,1,Automated Renewal Sequence + Expansion Play
CUST-0162,Mid-Market,AT,Avrios,32,693.09,8317.08,83.5,Green,Low,4,2025-04-30,0.92,7651.71,665.37,0.0,83.3,10,0,4.9,1,Automated Renewal Sequence + Expansion Play
CUST-0175,Mid-Market,DE,Vimcar,42,653.96,7847.52,79.9,Green,Low,1,2025-01-30,0.92,7219.72,627.8,0.0,86.3,12,0,3.9,0,Automated Renewal Sequence + Expansion Play
CUST-0174,Mid-Market,AT,New Logo,39,653.79,7845.48,90.4,Green,Low,2,2025-03-01,0.92,7217.84,627.64,0.0,78.4,4,0,4.8,1,Automated Renewal Sequence + Expansion Play
CUST-0240,Mid-Market,DE,New Logo,38,603.3,7239.6,88.0,Green,Low,2,2025-03-01,0.92,6660.43,579.17,861.84,89.6,10,0,4.1,1,Automated Renewal Sequence + Expansion Play
CUST-0037,Mid-Market,AT,Avrios,28,581.13,6973.56,95.5,Green,Low,7,2025-07-29,0.92,6415.68,557.88,0.0,90.7,3,0,4.6,1,Automated Renewal Sequence + Expansion Play
CUST-0032,Mid-Market,DE,Optimum Automotive,27,562.37,6748.44,83.5,Green,Low,2,2025-03-01,0.92,6208.56,539.88,0.0,88.6,3,0,4.6,0,Automated Renewal Sequence + Expansion Play
CUST-0029,Mid-Market,DE,New Logo,35,554.56,6654.72,94.0,Green,Low,9,2025-09-27,0.92,6122.34,532.38,0.0,88.9,1,0,4.3,1,Automated Renewal Sequence + Expansion Play
CUST-0123,Mid-Market,AT,Avrios,24,527.76,6333.12,92.4,Green,Low,7,2025-07-29,0.92,5826.47,506.65,0.0,92.6,4,0,4.2,1,Automated Renewal Sequence + Expansion Play
CUST-0163,SMB,AT,New Logo,20,488.6,5863.2,70.4,Green,Low,1,2025-01-30,0.92,5394.14,469.06,0.0,65.2,1,1,4.5,0,Automated Renewal Sequence + Expansion Play
CUST-0038,Mid-Market,DE,New Logo,30,481.33,5775.96,94.1,Green,Low,8,2025-08-28,0.92,5313.88,462.08,0.0,94.9,6,0,5.0,1,Automated Renewal Sequence + Expansion Play
CUST-0056,Mid-Market,DE,Vimcar,26,475.54,5706.48,97.2,Green,Low,7,2025-07-29,0.92,5249.96,456.52,0.0,86.3,1,0,4.5,1,Automated Renewal Sequence + Expansion Play
CUST-0181,Mid-Market,DE,New Logo,30,466.2,5594.4,96.4,Green,Low,4,2025-04-30,0.92,5146.85,447.55,618.72,87.6,3,0,4.2,1,Automated Renewal Sequence + Expansion Play
CUST-0234,Mid-Market,AT,Avrios,25,429.13,5149.56,85.4,Green,Low,2,2025-03-01,0.92,4737.6,411.96,0.0,83.8,8,1,4.2,1,Automated Renewal Sequence + Expansion Play
CUST-0124,SMB,AT,Vimcar,17,427.11,5125.32,70.9,Green,Low,5,2025-05-30,0.92,4715.29,410.03,0.0,75.0,16,0,2.9,0,Automated Renewal Sequence + Expansion Play
CUST-0098,SMB,DE,New Logo,18,414.32,4971.84,86.1,Green,Low,5,2025-05-30,0.92,4574.09,397.75,0.0,88.5,2,0,4.5,0,Automated Renewal Sequence + Expansion Play
CUST-0028,SMB,DE,Vimcar,19,404.85,4858.2,78.0,Green,Low,5,2025-05-30,0.92,4469.54,388.66,0.0,74.9,6,0,3.1,0,Automated Renewal Sequence + Expansion Play
CUST-0213,SMB,DE,Optimum Automotive,15,403.42,4841.04,76.7,Green,Low,5,2025-05-30,0.92,4453.76,387.28,0.0,77.8,4,1,4.0,0,Automated Renewal Sequence + Expansion Play
