customer_id,segment,country,industry,vehicle_count,mrr,arr,products,product_count,legacy_system,contract_start_date,tenure_months,renewal_date,months_to_renewal,adoption_score,engagement_score,support_score,relationship_score,health_score,health_tier,gps_adoption_pct,logbook_completion_pct,days_since_last_login,mobile_dau_mau,open_support_tickets,csat_score,qbr_completed_this_quarter,nps_score,onboarding_completion_score,expansion_mrr_3m,renewal_in_90d,churn_risk_flag,at_risk_arr
CUST-0029,Mid-Market,DE,Gesundheitswesen,35,554.56,6654.72,GPS Tracking|Digital Logbook|Fleet Analytics,3,New Logo,2023-10-04,15,2025-09-27,9,100.0,83.4,94.8,100.0,94.0,Green,88.9,87.2,1,0.226,0,4.3,1,10.0,94.3,0.0,False,False,0.0
CUST-0030,Mid-Market,DE,Gesundheitswesen,55,1191.09,14293.08,GPS Tracking|Digital Logbook|Fleet Analytics,3,Avrios,2023-10-19,14,2025-10-27,10,97.2,100.0,92.5,92.0,96.3,Green,100.0,100.0,3,0.503,0,4.6,1,8.0,100.0,0.0,False,False,0.0
CUST-0031,Mid-Market,AT,Facility Management,51,863.71,10364.52,GPS Tracking|Digital Logbook|Fleet Analytics,3,New Logo,2021-07-13,42,2025-06-29,6,100.0,100.0,93.2,80.0,95.6,Green,94.2,95.1,3,0.709,0,4.7,1,,100.0,0.0,False,False,0.0
CUST-0032,Mid-Market,DE,Logistik & Transport,27,562.37,6748.44,GPS Tracking|Digital Logbook|Fleet Analytics,3,Optimum Automotive,2023-03-06,22,2025-03-01,2,93.1,97.1,85.0,32.0,83.5,Green,88.6,80.5,3,0.421,0,4.6,0,,88.3,0.0,True,False,0.0
CUST-0033,SMB,DE,Handwerk & Baugewerbe,11,199.56,2394.72,GPS Tracking|Digital Logbook,2,New Logo,2024-03-17,9,2025-03-31,3,79.1,21.7,37.8,32.0,46.6,Amber,72.4,58.4,61,0.097,4,3.5,0,5.0,45.0,0.0,True,True,2394.72
CUST-0034,Enterprise,DE,Handwerk & Baugewerbe,364,5006.03,60072.36,GPS Tracking|Digital Logbook|Fleet Analytics|Driver Scoring,4,New Logo,2024-01-18,11,2025-01-30,1,97.9,88.0,92.5,80.0,91.2,Green,100.0,85.3,9,0.576,0,4.6,1,,100.0,0.0,True,False,0.0
CUST-0035,SMB,DE,Facility Management,2,47.48,569.76,GPS Tracking,1,Avrios,2022-04-15,33,2025-03-31,3,46.9,14.2,26.5,16.0,28.4,Red,50.0,,120,0.019,3,2.8,0,1.0,42.3,0.0,True,True,569.76
CUST-0036,Mid-Market,CH,Baugewerbe,32,696.27,8355.24,GPS Tracking|Digital Logbook|Fleet Analytics,3,New Logo,2023-06-03,19,2025-05-30,5,100.0,100.0,93.2,96.0,98.0,Green,97.2,94.9,1,0.48,0,4.7,1,9.0,100.0,0.0,False,False,0.0
CUST-0037,Mid-Market,AT,Handwerk & Baugewerbe,28,581.13,6973.56,GPS Tracking|Digital Logbook|Fleet Analytics,3,Avrios,2022-08-04,29,2025-07-29,7,100.0,100.0,92.5,80.0,95.5,Green,90.7,86.4,3,0.494,0,4.6,1,,100.0,0.0,False,False,0.0
CUST-0038,Mid-Market,DE,Handwerk & Baugewerbe,30,481.33,5775.96,GPS Tracking|Digital Logbook|Fleet Analytics,3,New Logo,2021-09-06,40,2025-08-28,8,89.1,96.0,95.5,100.0,94.1,Green,94.9,76.3,6,0.484,0,5.0,1,10.0,100.0,0.0,False,False,0.0
CUST-0039,Enterprise,DE,Kommunaler Betrieb,208,2643.83,31725.96,GPS Tracking|Digital Logbook|Fleet Analytics|Driver Scoring,4,Avrios,2020-06-20,55,2025-05-30,5,100.0,100.0,94.0,96.0,98.2,Green,97.4,87.9,1,0.45,0,4.8,1,9.0,100.0,0.0,False,False,0.0
CUST-0040,Mid-Market,DE,Außendienst & Vertrieb,35,715.04,8580.48,GPS Tracking|Digital Logbook|Fleet Analytics,3,Avrios,2022-09-14,27,2025-09-27,9,100.0,88.0,93.2,100.0,95.0,Green,90.7,94.0,13,0.405,0,4.7,1,10.0,100.0,0.0,False,False,0.0
CUST-0041,Mid-Market,DE,Kommunaler Betrieb,40,840.85,10090.2,GPS Tracking|Digital Logbook|Fleet Analytics,3,Vimcar,2022-06-07,31,2025-05-30,5,99.2,100.0,95.5,32.0,88.6,Green,94.4,82.3,3,0.6,0,5.0,0,,100.0,0.0,False,False,0.0
CUST-0042,SMB,AT,Logistik & Transport,3,72.29,867.48,GPS Tracking,1,New Logo,2024-05-12,7,2025-05-30,5,78.6,48.5,53.0,24.0,56.3,Amber,57.2,,12,0.099,2,3.0,0,3.0,47.2,0.0,False,False,0.0
CUST-0043,SMB,DE,Logistik & Transport,8,165.17,1982.04,GPS Tracking|Digital Logbook,2,Avrios,2024-06-18,6,2025-06-29,6,76.9,45.2,31.0,36.0,52.1,Amber,77.5,68.4,43,0.254,3,2.6,0,6.0,59.8,0.0,False,False,0.0
CUST-0044,SMB,DE,Gesundheitswesen,19,356.26,4275.12,GPS Tracking|Digital Logbook,2,New Logo,2024-11-26,1,2025-11-26,11,43.3,14.4,32.0,20.0,28.9,Red,42.1,15.3,119,0.071,2,2.2,0,2.0,24.6,0.0,False,False,0.0
CUST-0045,SMB,AT,Facility Management,17,355.51,4266.12,GPS Tracking|Digital Logbook,2,New Logo,2023-08-15,16,2025-08-28,8,92.5,48.1,69.0,36.0,66.0,Amber,74.7,89.6,57,0.235,1,3.8,0,6.0,78.0,0.0,False,False,0.0
CUST-0046,SMB,DE,Gesundheitswesen,16,299.39,3592.68,GPS Tracking|Digital Logbook,2,New Logo,2023-08-11,16,2025-08-28,8,68.7,93.7,58.5,32.0,68.7,Amber,78.4,52.7,2,0.408,1,3.6,0,,74.9,0.0,False,False,0.0
CUST-0047,SMB,DE,Kommunaler Betrieb,20,492.24,5906.88,GPS Tracking|Digital Logbook,2,New Logo,2023-10-23,14,2025-10-27,10,95.2,78.9,60.0,44.0,75.6,Green,82.4,82.8,10,0.345,1,2.6,0,8.0,82.9,0.0,False,False,0.0
CUST-0048,SMB,DE,Handwerk & Baugewerbe,9,220.29,2643.48,GPS Tracking|Digital Logbook,2,New Logo,2023-06-06,19,2025-05-30,5,87.6,92.9,76.8,44.0,80.5,Green,78.9,59.3,5,0.472,0,3.5,0,8.0,87.6,0.0,False,False,0.0
CUST-0049,Mid-Market,DE,Kommunaler Betrieb,24,387.88,4654.56,GPS Tracking|Digital Logbook|Fleet Analytics,3,New Logo,2023-02-11,22,2025-03-01,2,100.0,98.6,91.0,80.0,94.8,Green,93.8,92.8,2,0.662,0,4.4,1,,94.5,0.0,True,False,0.0
CUST-0050,SMB,CH,Baugewerbe,11,246.31,2955.72,GPS Tracking|Digital Logbook,2,Optimum Automotive,2022-04-17,32,2025-04-30,4,74.6,70.2,74.5,40.0,68.1,Amber,67.4,53.6,22,0.376,0,3.2,0,7.0,77.4,0.0,False,False,0.0
CUST-0051,SMB,CH,Logistik & Transport,10,230.05,2760.6,GPS Tracking|Digital Logbook,2,Avrios,2022-02-24,34,2025-03-01,2,47.4,55.2,57.8,24.0,48.3,Amber,45.5,50.4,8,0.186,1,3.5,0,3.0,43.7,0.0,True,True,2760.6
CUST-0052,SMB,DE,Logistik & Transport,15,380.18,4562.16,GPS Tracking|Digital Logbook,2,Vimcar,2023-07-08,18,2025-06-29,6,79.9,83.5,80.2,36.0,74.5,Green,79.7,59.7,4,0.338,1,4.3,0,6.0,71.8,0.0,False,False,0.0
CUST-0053,SMB,AT,Facility Management,20,477.42,5729.04,GPS Tracking|Digital Logbook,2,New Logo,2024-10-20,2,2025-10-27,10,47.9,14.6,20.5,16.0,27.6,Red,34.5,47.1,46,0.0,3,2.0,0,1.0,26.6,0.0,False,False,0.0
CUST-0054,Enterprise,DE,Außendienst & Vertrieb,376,4602.76,55233.12,GPS Tracking|Digital Logbook|Fleet Analytics|Driver Scoring,4,Vimcar,2020-07-07,54,2025-06-29,6,95.4,88.0,91.0,80.0,90.0,Green,89.8,83.4,8,0.515,0,4.4,1,,100.0,0.0,False,False,0.0
CUST-0055,Mid-Market,DE,Außendienst & Vertrieb,79,1338.82,16065.84,GPS Tracking|Digital Logbook|Fleet Analytics,3,Avrios,2021-07-22,41,2025-07-29,7,100.0,96.0,90.2,100.0,96.8,Green,94.0,100.0,5,0.446,0,4.3,1,10.0,100.0,0.0,False,False,0.0
CUST-0056,Mid-Market,DE,Gesundheitswesen,26,475.54,5706.48,GPS Tracking|Digital Logbook|Fleet Analytics,3,Vimcar,2022-07-19,29,2025-07-29,7,100.0,100.0,91.8,92.0,97.2,Green,86.3,97.8,1,0.563,0,4.5,1,8.0,100.0,0.0,False,False,0.0
CUST-0057,SMB,DE,Außendienst & Vertrieb,5,132.89,1594.68,GPS Tracking|Digital Logbook,2,New Logo,2023-01-26,23,2025-01-30,1,76.8,41.7,43.0,40.0,54.0,Amber,67.1,33.4,80,0.256,3,3.0,0,7.0,69.2,0.0,True,True,1594.68
CUST-0058,Mid-Market,CH,Logistik & Transport,39,765.89,9190.68,GPS Tracking|Digital Logbook|Fleet Analytics,3,Optimum Automotive,2022-08-04,29,2025-07-29,7,88.9,96.0,94.0,80.0,90.7,Green,94.4,96.1,5,0.604,0,4.2,1,,100.0,0.0,False,False,0.0
CUST-0059,SMB,AT,Außendienst & Vertrieb,16,302.09,3625.08,GPS Tracking|Digital Logbook,2,New Logo,2023-07-04,18,2025-06-29,6,74.8,69.6,65.2,36.0,65.5,Amber,72.4,72.0,6,0.166,1,3.3,0,6.0,76.1,0.0,False,False,0.0
CUST-0060,SMB,CH,Baugewerbe,18,472.49,5669.88,GPS Tracking|Digital Logbook,2,New Logo,2024-11-29,1,2025-11-26,11,50.0,23.2,19.2,32.0,33.1,Red,29.6,50.5,58,0.157,5,2.1,0,,5.7,0.0,False,False,0.0
CUST-0061,Enterprise,CH,Baugewerbe,292,3598.97,43187.64,GPS Tracking|Digital Logbook|Fleet Analytics|Driver Scoring,4,Avrios,2021-11-06,38,2025-10-27,10,100.0,100.0,92.5,80.0,95.5,Green,93.4,99.8,1,0.491,0,4.6,1,,100.0,0.0,False,False,0.0
CUST-0062,Mid-Market,DE,Facility Management,69,1059.93,12719.16,GPS Tracking|Digital Logbook|Fleet Analytics,3,New Logo,2023-05-05,20,2025-04-30,4,100.0,100.0,88.8,100.0,97.8,Green,95.2,100.0,1,0.517,0,4.1,1,10.0,100.0,194.65,False,False,0.0
CUST-0063,Mid-Market,DE,Gesundheitswesen,49,1037.13,12445.56,GPS Tracking|Digital Logbook|Fleet Analytics,3,Vimcar,2022-02-13,35,2025-01-30,1,100.0,100.0,94.8,100.0,99.0,Green,92.6,89.5,1,0.526,0,4.9,1,10.0,100.0,73.81,True,False,0.0
CUST-0064,Mid-Market,DE,Handwerk & Baugewerbe,59,1215.12,14581.44,GPS Tracking|Digital Logbook|Fleet Analytics,3,New Logo,2023-12-13,12,2025-12-26,12,100.0,100.0,92.5,48.0,90.7,Green,88.1,99.6,3,0.508,0,4.6,0,9.0,100.0,183.39,False,False,0.0
CUST-0065,Mid-Market,AT,Handwerk & Baugewerbe,56,999.93,11999.16,GPS Tracking|Digital Logbook|Fleet Analytics,3,New Logo,2023-07-30,17,2025-07-29,7,94.4,100.0,91.8,96.0,95.8,Green,90.6,96.8,1,0.701,0,4.5,1,9.0,100.0,181.06,False,False,0.0
CUST-0066,Mid-Market,CH,Baugewerbe,50,1081.47,12977.64,GPS Tracking|Digital Logbook|Fleet Analytics,3,Optimum Automotive,2021-03-16,46,2025-03-01,2,95.9,100.0,94.0,52.0,90.2,Green,92.9,80.5,1,0.588,0,4.8,0,10.0,100.0,0.0,True,False,0.0
CUST-0067,SMB,DE,Außendienst & Vertrieb,11,253.98,3047.76,GPS Tracking|Digital Logbook,2,New Logo,2023-05-22,19,2025-05-30,5,84.0,99.6,89.5,44.0,83.8,Green,97.3,73.2,1,0.417,0,4.2,0,8.0,98.2,0.0,False,False,0.0
CUST-0068,SMB,DE,Kommunaler Betrieb,17,347.43,4169.16,GPS Tracking|Digital Logbook,2,New Logo,2024-02-09,10,2025-03-01,2,71.2,73.0,50.8,20.0,60.0,Amber,58.4,33.1,1,0.193,2,3.9,0,2.0,64.3,0.0,True,True,4169.16
CUST-0069,SMB,DE,Facility Management,18,458.33,5499.96,GPS Tracking|Digital Logbook,2,New Logo,2024-02-26,10,2025-03-01,2,76.1,31.0,67.8,32.0,54.3,Amber,71.1,79.3,103,0.171,0,3.5,0,,56.2,0.0,True,True,5499.96
CUST-0070,SMB,CH,Logistik & Transport,15,320.98,3851.76,GPS Tracking|Digital Logbook,2,Vimcar,2022-01-27,35,2025-01-30,1,57.2,31.3,57.5,20.0,43.9,Amber,34.7,78.3,61,0.137,2,2.6,0,2.0,69.3,0.0,True,True,3851.76
CUST-0071,SMB,CH,Baugewerbe,11,277.87,3334.44,GPS Tracking|Digital Logbook,2,Optimum Automotive,2022-03-05,34,2025-03-01,2,60.9,64.5,47.8,32.0,55.0,Amber,75.0,47.8,5,0.179,2,3.5,0,,51.4,0.0,True,True,3334.44
CUST-0072,Enterprise,CH,Baugewerbe,356,5306.55,63678.6,GPS Tracking|Digital Logbook|Fleet Analytics|Driver Scoring,4,Avrios,2022-11-22,25,2025-11-26,11,98.3,100.0,91.8,80.0,94.8,Green,92.9,79.3,1,0.556,0,4.5,1,,100.0,1392.01,False,False,0.0
CUST-0073,Enterprise,AT,Außendienst & Vertrieb,245,4218.31,50619.72,GPS Tracking|Digital Logbook|Fleet Analytics,3,Vimcar,2020-11-04,50,2025-10-27,10,97.2,98.4,88.8,52.0,89.1,Green,91.8,89.0,3,0.689,0,4.1,0,10.0,93.7,948.19,False,False,0.0
CUST-0074,SMB,CH,Baugewerbe,3,63.55,762.6,GPS Tracking,1,Optimum Automotive,2022-04-08,33,2025-03-31,3,31.1,19.1,16.8,32.0,24.8,Red,33.2,,120,0.065,3,1.5,0,,45.7,0.0,True,True,762.6
CUST-0075,Mid-Market,DE,Außendienst & Vertrieb,45,986.35,11836.2,GPS Tracking|Digital Logbook|Fleet Analytics,3,New Logo,2021-03-07,46,2025-03-01,2,94.4,96.0,92.5,96.0,94.7,Green,93.6,89.6,4,0.477,0,4.6,1,9.0,100.0,0.0,True,False,0.0
CUST-0076,SMB,AT,Außendienst & Vertrieb,3,57.79,693.48,GPS Tracking,1,New Logo,2023-01-22,23,2025-01-30,1,73.9,22.9,55.5,28.0,48.0,Amber,52.2,,73,0.086,1,3.2,0,4.0,53.6,0.0,True,True,693.48
CUST-0077,Enterprise,DE,Gesundheitswesen,132,2000.55,24006.6,GPS Tracking|Digital Logbook|Fleet Analytics,3,Vimcar,2022-03-12,34,2025-03-01,2,91.7,100.0,99.2,80.0,93.9,Green,92.8,92.2,2,0.426,0,4.9,1,,100.0,0.0,True,False,0.0
CUST-0078,SMB,CH,Baugewerbe,6,112.49,1349.88,GPS Tracking|Digital Logbook,2,New Logo,2023-06-08,19,2025-05-30,5,62.8,91.6,75.0,36.0,69.9,Amber,60.5,93.0,6,0.45,1,4.6,0,6.0,82.3,0.0,False,False,0.0
CUST-0079,SMB,AT,Außendienst & Vertrieb,4,106.07,1272.84,GPS Tracking,1,New Logo,2022-10-15,26,2025-10-27,10,59.2,28.6,53.2,32.0,44.7,Amber,63.1,,68,0.138,1,2.9,0,,58.1,0.0,False,False,0.0
CUST-0080,SMB,CH,Außendienst & Vertrieb,19,348.82,4185.84,GPS Tracking|Digital Logbook,2,Optimum Automotive,2024-07-14,5,2025-07-29,7,28.1,12.8,55.8,16.0,27.2,Red,24.3,43.9,68,0.033,0,2.7,0,1.0,31.7,0.0,False,False,0.0
CUST-0081,Mid-Market,AT,Handwerk & Baugewerbe,35,707.96,8495.52,GPS Tracking|Digital Logbook|Fleet Analytics,3,New Logo,2022-05-28,31,2025-05-30,5,88.9,100.0,91.8,100.0,94.5,Green,100.0,98.4,2,0.422,0,4.5,1,10.0,100.0,0.0,False,False,0.0
CUST-0082,SMB,DE,Handwerk & Baugewerbe,16,314.62,3775.44,GPS Tracking|Digital Logbook,2,New Logo,2023-03-29,21,2025-03-31,3,57.6,62.9,67.5,32.0,57.3,Amber,59.3,55.5,25,0.337,1,3.6,0,,61.5,0.0,True,True,3775.44
CUST-0083,Mid-Market,AT,Außendienst & Vertrieb,41,843.49,10121.88,GPS Tracking|Digital Logbook|Fleet Analytics,3,New Logo,2023-03-12,22,2025-03-01,2,97.2,100.0,94.0,96.0,97.2,Green,96.4,75.6,3,0.484,0,4.8,1,9.0,100.0,0.0,True,False,0.0
CUST-0084,Enterprise,DE,Logistik & Transport,155,2087.1,25045.2,GPS Tracking|Digital Logbook|Fleet Analytics|Driver Scoring,4,Avrios,2022-06-12,31,2025-05-30,5,100.0,100.0,100.0,100.0,100.0,Green,92.7,100.0,2,0.621,0,5.0,1,10.0,100.0,0.0,False,False,0.0
CUST-0085,SMB,CH,Facility Management,7,131.53,1578.36,GPS Tracking|Digital Logbook,2,Avrios,2022-10-10,27,2025-09-27,9,68.2,60.9,55.2,32.0,58.0,Amber,56.1,84.4,15,0.257,2,3.3,0,5.0,81.5,0.0,False,False,0.0
CUST-0086,SMB,CH,Außendienst & Vertrieb,17,461.18,5534.16,GPS Tracking|Digital Logbook,2,Optimum Automotive,2024-02-12,10,2025-03-01,2,59.4,34.4,66.0,20.0,47.3,Amber,62.6,26.3,120,0.223,1,3.4,0,2.0,51.7,0.0,True,True,5534.16
CUST-0087,Enterprise,DE,Facility Management,316,4276.1,51313.2,GPS Tracking|Digital Logbook|Fleet Analytics|Driver Scoring,4,New Logo,2024-09-13,3,2025-09-27,9,86.4,74.6,77.5,84.0,80.7,Green,71.6,77.9,7,0.283,0,3.6,1,6.0,55.3,0.0,False,False,0.0
CUST-0088,SMB,AT,Facility Management,19,372.02,4464.24,GPS Tracking|Digital Logbook,2,New Logo,2022-06-11,31,2025-05-30,5,91.7,98.8,90.2,32.0,84.6,Green,92.1,100.0,1,0.591,0,4.3,0,,95.1,53.71,False,False,0.0
CUST-0089,SMB,DE,Logistik & Transport,15,373.55,4482.6,GPS Tracking|Digital Logbook,2,Optimum Automotive,2022-05-11,32,2025-04-30,4,87.0,64.6,85.0,36.0,72.2,Green,74.4,80.9,55,0.387,0,4.6,0,6.0,90.8,0.0,False,False,0.0
CUST-0090,SMB,DE,Kommunaler Betrieb,14,371.47,4457.64,GPS Tracking|Digital Logbook,2,Optimum Automotive,2024-04-27,8,2025-04-30,4,69.8,40.0,67.0,32.0,54.6,Amber,50.6,44.7,20,0.093,0,2.2,0,,55.3,0.0,False,False,0.0
CUST-0091,SMB,AT,Außendienst & Vertrieb,13,308.73,3704.76,GPS Tracking|Digital Logbook,2,Vimcar,2023-04-07,21,2025-03-31,3,50.9,47.5,47.0,36.0,46.9,Amber,43.0,39.2,18,0.203,2,3.4,0,6.0,46.9,0.0,True,True,3704.76
CUST-0092,Mid-Market,DE,Gesundheitswesen,38,572.15,6865.8,GPS Tracking|Digital Logbook|Fleet Analytics,3,New Logo,2024-07-24,5,2025-07-29,7,64.5,49.1,49.5,80.0,59.2,Amber,52.4,51.4,36,0.297,1,2.4,1,,60.5,0.0,False,False,0.0
